Topic,Characteristics,Total
Income of individuals in 2015,    Average market income in 2015 among recipients ($),52671
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,106130
Income of individuals in 2015,    Average government transfers in 2015 among recipients ($),7332
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,130205
Income of individuals in 2015,    Average employment income in 2015 among recipients ($),51634
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,171820
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,66425
Income of individuals in 2015,    Median employment income in 2015 for full-year full-time workers ($),60394
Income of individuals in 2015,    Average employment income in 2015 for full-year full-time workers ($),70471
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,100
Income of individuals in 2015,  Market income (%),91.2
Income of individuals in 2015,    Employment income (%),76
Income of individuals in 2015,  Government transfers (%),8.8
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,171770
Income of individuals in 2015,  Without total income,6570
Income of individuals in 2015,  With total income,165200
Income of individuals in 2015,  Percentage with total income,96.2
Income of individuals in 2015,    Under $10;000 (including loss),18150
Income of individuals in 2015,    $10;000 to $19;999,20525
Income of individuals in 2015,    $20;000 to $29;999,20250
Income of individuals in 2015,    $30;000 to $39;999,18480
Income of individuals in 2015,    $40;000 to $49;999,18600
Income of individuals in 2015,    $50;000 to $59;999,15540
Income of individuals in 2015,    $60;000 to $69;999,12020
Income of individuals in 2015,    $70;000 to $79;999,9625
Income of individuals in 2015,    $80;000 to $89;999,7910
Income of individuals in 2015,    $90;000 to $99;999,6140
Income of individuals in 2015,    $100;000 and over,17965
Income of individuals in 2015,      $100;000 to $149;999,12855
Income of individuals in 2015,      $150;000 and over,5110
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,171770
Income of individuals in 2015,  Without after-tax income,6545
Income of individuals in 2015,  With after-tax income,165225
Income of individuals in 2015,  Percentage with after-tax income,96.2
Income of individuals in 2015,    Under $10;000 (including loss),18665
Income of individuals in 2015,    $10;000 to $19;999,21625
Income of individuals in 2015,    $20;000 to $29;999,23800
Income of individuals in 2015,    $30;000 to $39;999,24040
Income of individuals in 2015,    $40;000 to $49;999,22200
Income of individuals in 2015,    $50;000 to $59;999,16520
Income of individuals in 2015,    $60;000 to $69;999,12355
Income of individuals in 2015,    $70;000 to $79;999,8885
Income of individuals in 2015,    $80;000 and over,17130
Income of individuals in 2015,      $80;000 to $89;999,5745
Income of individuals in 2015,      $90;000 to $99;999,3615
Income of individuals in 2015,      $100;000 and over,7770
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,171770
Income of individuals in 2015,  Without employment income,41605
Income of individuals in 2015,  With employment income,130165
Income of individuals in 2015,  Percentage with employment income,75.8
Income of individuals in 2015,    Under $5;000 (including loss),12880
Income of individuals in 2015,    $5;000 to $9;999,8020
Income of individuals in 2015,    $10;000 to $19;999,14260
Income of individuals in 2015,    $20;000 to $29;999,13240
Income of individuals in 2015,    $30;000 to $39;999,13190
Income of individuals in 2015,    $40;000 to $49;999,13495
Income of individuals in 2015,    $50;000 to $59;999,11890
Income of individuals in 2015,    $60;000 to $69;999,9240
Income of individuals in 2015,    $70;000 to $79;999,7715
Income of individuals in 2015,    $80;000 and over,26240
Income of individuals in 2015,      $80;000 to $89;999,6705
Income of individuals in 2015,      $90;000 to $99;999,5190
Income of individuals in 2015,      $100;000 and over,14335
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,87170
Income of households in 2015,  Median total income of households in 2015 ($),81850
Income of households in 2015,  Median after-tax income of households in 2015 ($),70254
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 100% data,25790
Income of households in 2015,      Median total income of one-person households in 2015 ($),44595
Income of households in 2015,      Median after-tax income of one-person households in 2015 ($),38622
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,61380
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),103214
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),87887
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,87175
Income of households in 2015,  Average total income of households in 2015 ($),101183
Income of households in 2015,  Average after-tax income of households in 2015 ($),83040
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,25785
